station,lat_nad83,long_nad83,region
BUIS_59,17.80514,-64.59657,BUIS
NBAR_03,17.80575,-64.59815,BUIS
NBAR_04,17.80455,-64.59511,BUIS
NBAR_02,17.8066,-64.59988,BUIS
NBAR_01,17.80703,-64.6015,BUIS
NBAR_07,17.80289,-64.59821,BUIS
NBAR_05,17.80518,-64.60329,BUIS
NBAR_06,17.80389,-64.60086,BUIS
NBAR_09,17.80188,-64.59254,BUIS
NBAR_08,17.80219,-64.5955,BUIS
BUIS_58,17.80635,-64.60589,BUIS
180,18.18884,-64.95987,GRBK
163,18.18949,-64.95807,GRBK
162,18.18923,-64.95939,GRBK
161,18.18882,-64.96065,GRBK
181,18.18839,-64.95919,GRBK
186,18.1896,-64.95875,GRBK
182,18.18908,-64.95869,GRBK
177,18.18852,-64.95849,GRBK
179,18.18811,-64.96021,GRBK
176,18.18801,-64.95975,GRBK
184,18.18941,-64.95727,GRBK
153,18.19004,-64.96133,GRBK
170,18.18742,-64.96042,GRBK
183,18.1887,-64.95798,GRBK
171,18.18764,-64.95918,GRBK
172,18.18789,-64.95811,GRBK
9,18.1877,-64.95998,GRBK
178,18.18877,-64.95738,GRBK
150,18.1879,-64.96193,GRBK
160,18.18752,-64.96115,GRBK
151,18.1887,-64.95666,GRBK
185,18.18925,-64.95664,GRBK
56,18.19029,-64.95354,GRBK
167,18.18864,-64.95577,GRBK
169,18.18925,-64.95389,GRBK
103,18.1875,-64.96408,GRBK
149,18.18808,-64.96679,GRBK
100,18.19771,-64.94709,GRBK
53,18.1927,-64.94669,GRBK
165,18.1879,-64.95876,GRBK
164,18.18815,-64.95762,GRBK
BUIS_60,17.80187,-64.58978,BUIS
